NAVCOID	CAMPAIGN	LOCATION	BYEAR	EYEAR	TARGET	SUCCESS	LIMITED	FAILURE	ONGOING	VIOL	NONVIOL	FSELFDET	REGCHANGE	SECESSION	OTHER
317.0	"Anti-Abdelaziz Bouteflika Campaign"	"Algeria"	2010.0	2012.0	"Abdelaziz Bouteflika's Government"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
564.0	"Smile Revolution"	"Algeria"	2019.0	2019.0	"Abdelaziz Bouteflika's Government"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
176.0	"Popular Movement for the Liberation of Angola"	"Angola"	1961.0	1974.0	"Portuguese occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
237.0	"UNITA"	"Angola"	1975.0	2002.0	"Angolan government"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
390.0	"Cabinda Conflict"	"Angola"	1991.0	2019.0	"Govt of Angola"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
362.0	"Revolucion Libertadora"	"Argentina"	1955.0	1955.0	"Argentina"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
72.0	"ERP/Monteneros"	"Argentina"	1973.0	1977.0	"Argentina regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
33.0	"pro-democracy movement"	"Argentina"	1977.0	1983.0	"military junta"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
32.0	"Argentina anti-coup"	"Argentina"	1987.0	1987.0	"attempted coup"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
318.0	"Armenian Opposition Protest / March 1st Movement"	"Armenia"	2007.0	2009.0	"Government / President"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
558.0	"2018 Anti-government protests"	"Armenia"	2018.0	2018.0	"Gov't of Armenia"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
254.0	"Pro-Independence Campaign"	"Aruba"	1977.0	1977.0	"Government of the Netherlands and the Netherlands Antilles Council"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
1055.0	"socialists"	"Austria"	1934.0	1934.0	"Dolfuss government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
35.0	"Armenians in Nagorno-Karabakh"	"Azerbaijan"	1991.0	1994.0	"Azeri occupation"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
255.0	"Anti-King Hamad Campaign"	"Bahrain"	2011.0	2019.0	"Monarchy of King Hamad"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
198.0	"Shanti Bahini"	"Bangladesh"	1976.0	1997.0	"Autonomy from Bangladesh regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
37.0	"anti-Ershad campaign"	"Bangladesh"	1987.0	1990.0	"Military rule"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
478.0	"1994-1996 Awami League Campaign"	"Bangladesh"	1994.0	1996.0	"The Government of Bangladesh, BNP"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
288.0	"Oust The Government Campaign"	"Bangladesh"	2004.0	2004.0	"BNP-led government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
288.0	"Awami League Protests"	"Bangladesh"	2006.0	2007.0	"Interim Government"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
38.0	"Belarus anti-communist"	"Belarus"	1988.0	1991.0	"Communist regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
39.0	"Denim revolution"	"Belarus"	2006.0	2006.0	"Belarus government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
451.0	"Benin anti-government protests"	"Benin"	1963.0	1963.0	"Benin govt"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
41.0	"Benin anti-communist"	"Benin"	1989.0	1990.0	"Communist regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1005.0	"Acre rebellion"	"Bolivia"	1902.0	1903.0	"secession from Bolivia"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
392.0	"Popular Revolutionary Movement"	"Bolivia"	1946.0	1946.0	"Villaroel regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
44.0	"leftists"	"Bolivia"	1952.0	1952.0	"military junta"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
453.0	"Bolivian anti-government protests"	"Bolivia"	1964.0	1964.0	"incumbent govt"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
43.0	"Bolivian anti-juntas"	"Bolivia"	1977.0	1982.0	"Mil juntas"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
289.0	"Anti-Siles Zuazo"	"Bolivia"	1985.0	1985.0	"President Hernan Silez-Zuazo"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
257.0	"Anti-Sanchez de Lozada Campaign"	"Bolivia"	2003.0	2003.0	"President Sanchez de Lozada"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
496.0	"Anti-Mesa Campaign Phase 1"	"Bolivia"	2004.0	2004.0	"President Carlos Mesa"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
498.0	"Anti-Mesa Campaign Phase 2"	"Bolivia"	2005.0	2005.0	"President Carlos Mesa"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
565.0	"anti-Morales protests"	"Bolivia"	2019.0	2019.0	"Morales govt"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
566.0	"anti-Áñez protests"	"Bolivia"	2019.0	2019.0	"Áñez govt"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
196.0	"Serb militias"	"Bosnia-Herzegovina"	1992.0	1995.0	"Bosnian government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
369.0	"Republic of Western Bosnia (secession)"	"Bosnia-Herzegovina"	1993.0	1995.0	""	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
521.0	"UDAR"	"Bosnia-Herzegovina"	2014.0	2014.0	"incumbent government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1052.0	"Paolistas"	"Brazil"	1932.0	1932.0	"Brazilian regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
68.0	"diretas ja"	"Brazil"	1984.0	1985.0	"Military rule"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
475.0	"Anti-Collor Protests"	"Brazil"	1992.0	1992.0	"Gov't of Brazil (Collor)"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
529.0	"Anti-Rousseff"	"Brazil"	2015.0	2016.0	"Gov't of Brazil"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
383.0	"Brunei Revolt"	"Brunei"	1962.0	1962.0	"Brunei government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
1038.0	"Agrarian League movement"	"Bulgaria"	1923.0	1923.0	"Military regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
47.0	"Bulgarian anti-communist"	"Bulgaria"	1989.0	1990.0	"Communist regime"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
507.0	"Anti-Socialist Demonstrations"	"Bulgaria"	2009.0	2009.0	"Socialist Government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
290.0	"Dance with me Campaign"	"Bulgaria"	2013.0	2014.0	"Gov't of PM Oresharski"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
522.0	"Anti-Compaore Campaign"	"Burkina Faso"	2014.0	2014.0	"President Compaore"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
346.0	"Burmese independence movement"	"Burma"	1916.0	1938.0	"British colonial rule"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
1049.0	"Saya San's rebellion"	"Burma"	1930.0	1932.0	"British occupation"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
439.0	"Kachin rebels"	"Burma"	1948.0	1994.0	"Burmese government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
408.0	"Karens"	"Burma"	1948.0	1994.0	"Burmese government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
408.0	"Pro-Democracy movement in Burma"	"Burma"	1988.0	2019.0	"Burmese government"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
81.0	"Hutu rebellion"	"Burundi"	1972.0	1973.0	"Tutsi hegemony in government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
225.0	"Burundian Civil War"	"Burundi"	1991.0	2008.0	"Gov't of Burundi"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
236.0	"Tutsi supremacists"	"Burundi"	1991.0	1992.0	"Buyoya regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
504.0	"Palipehutu-FNL"	"Burundi"	2008.0	2008.0	"Tutsi-dominated government in Burundi"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
530.0	"Anti-Nkurunziza Campaign"	"Burundi"	2015.0	2015.0	"Nkurunziza regime"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
371.0	"Cambodian Independence Movement"	"Cambodia"	1946.0	1954.0	"French rule"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
117.0	"Khmer Rouge"	"Cambodia"	1970.0	1975.0	"Cambodian government"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
22.0	"Kampuchean United Front for National Salvation"	"Cambodia"	1978.0	1979.0	"Khmer Rouge regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
193.0	"Second Khmer Rouge"	"Cambodia"	1979.0	1997.0	"Cambodian government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
483.0	"Anti-Hun Sen"	"Cambodia"	1998.0	1998.0	"PM Hun Sen"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
519.0	"2013 Cambodian election protests"	"Cambodia"	2013.0	2014.0	"government of Cambodia"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
51.0	"anti-colonialist movement"	"Cameroon"	1955.0	1960.0	"French occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
413.0	"Cameroon anti-Ahidjo government movement"	"Cameroon"	1960.0	1971.0	"Franco-Cameroonian administration"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
259.0	"NCCOP pro-democracy movement"	"Cameroon"	1991.0	1991.0	"Biya Regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
404.0	"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad (Boko Haram Affliliate)"	"Cameroon"	2013.0	2018.0	"Gov't of Cameroon"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
358.0	"Ambazonia Independence"	"Cameroon"	2017.0	2018.0	"Cameroon govt"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
358.0	"Anglophone Crisis/Ambazonia Independence"	"Cameroon"	2017.0	2019.0	"Cameroon govt"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
325.0	"CCCN and Union pro-democracy movement"	"Central African Republic"	1990.0	1993.0	"Kolingba Presidency"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
479.0	"multiple factions"	"Central African Republic"	1994.0	1997.0	"CAR regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
360.0	"Seleka rebellion"	"Central African Republic"	2003.0	2013.0	"President Francois Bozize"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
361.0	"anti-Balaka"	"Central African Republic"	2013.0	2014.0	"Central African Republic govt"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
85.0	"Frolinat"	"Chad"	1966.0	1990.0	"Chadian government"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
54.0	"rebels"	"Chad"	1994.0	1998.0	"Chadian regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
363.0	"MDJT"	"Chad"	1998.0	2003.0	"Govt of Chad"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
499.0	"Chadian Civll War I"	"Chad"	2005.0	2006.0	"Gov't of Chad"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
433.0	"Anti-Deby Rebellion"	"Chad"	2005.0	2009.0	"Govt of Chad"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
500.0	"Chadian Civll War II"	"Chad"	2006.0	2010.0	"Gov't of Chad"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
1050.0	"anti-Ibanez campaign"	"Chile"	1931.0	1931.0	"Ibanez regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
170.0	"Pinochet-led rebels"	"Chile"	1973.0	1973.0	"Allende regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
26.0	"anti-Pinochet campaign"	"Chile"	1983.0	1989.0	"Augusto Pinochet"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
567.0	"anti-Pinera"	"Chile"	2019.0	2019.0	"Pinera government"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
1016.0	"Republicans"	"China"	1911.0	1913.0	"Imperial regime; military dictatorship"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
1019.0	"Yunnan rebellion"	"China"	1916.0	1918.0	"Chinese occupation"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
1028.0	"May the Fourth Movement"	"China"	1919.0	1919.0	"Japanese occupation"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
425.0	"Chinese communist movement"	"China"	1927.0	1949.0	"Kuomintang regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
1051.0	"Manchurian guerillas"	"China"	1931.0	1941.0	"Japanese occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1060.0	"Chinese rebels"	"China"	1937.0	1945.0	"Japanese occupation"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
216.0	"Taiwanese Revolt"	"China"	1947.0	1947.0	"Chinese occupation"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
92.0	"Hundred Flowers Movement"	"China"	1956.0	1957.0	"Communist regime"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
228.0	"Tibetan resistance"	"China"	1956.0	1959.0	"Chinese occupation"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
63.0	"Cultural Revolution Red Guards"	"China"	1967.0	1968.0	"anti-Maoists"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
66.0	"Democracy Movement"	"China"	1976.0	1979.0	"Communist regime"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
226.0	"Tiananmen Square"	"China"	1989.0	1989.0	"Communist regime"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
513.0	"Kirti Monastery Protests"	"China"	2012.0	2012.0	"Government of China"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
523.0	"Hong Kong pro-democracy (Umbrella Movement)"	"China"	2014.0	2019.0	"Government of Hong Kong (Chief Executive Leung)"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
129.0	"La Violencia/Liberals of 1949"	"Colombia"	1948.0	1958.0	"Conservative govt"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
443.0	"anti-Rojas"	"Colombia"	1957.0	1957.0	"Rojas government"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
182.0	"Revolutionary Armed Forces of Colombia, National Liberation Army, M-19"	"Colombia"	1964.0	2016.0	"Colombia govt and US influence"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
367.0	"Anjouan Separatist Movement"	"Comoros"	1997.0	2000.0	"Comoros govt"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
67.0	"Denis Sassou Nguesso campaign"	"Congo-Brazzaville (ROC)"	1997.0	1999.0	"Lissouba regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
397.0	"Anti-Sassou-Nguessou Campaign (Cocoyes, Ninjas, Ntsiloulous)"	"Congo-Brazzaville (ROC)"	1997.0	2003.0	"Sassou-Nguessou Regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
146.0	"National Union Party"	"Costa Rica"	1948.0	1948.0	"Calderon regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
391.0	"Serbian Republic of Krajina (secession campaign)"	"Croatia"	1991.0	1995.0	"Gov't of Croatia"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
485.0	"Croatian pro-democracy"	"Croatia"	1999.0	2000.0	"semi-presidential system"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
62.0	"Cuban Revolution"	"Cuba"	1958.0	1959.0	"Batista regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
77.0	"Ethniki Organosis Kyprios Agoniston"	"Cyprus"	1954.0	1959.0	"British occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
64.0	"Czech uprising"	"Czechoslovakia"	1968.0	1968.0	"Soviet occupation"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
240.0	"Velvet Revolution"	"Czechoslovakia"	1989.0	1989.0	"Communist regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
444.0	"Congolese Independence Movement"	"Democratic Republic of Congo"	1959.0	1960.0	"Belgian rule"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
409.0	"CNL"	"Democratic Republic of Congo"	1964.0	1965.0	"Mobutu regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
112.0	"Kabila-ADFL"	"Democratic Republic of Congo"	1996.0	1997.0	"Mobutu regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
410.0	"Second Congo War"	"Democratic Republic of Congo"	1998.0	2002.0	"Kabila Regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
326.0	"CNDP"	"Democratic Republic of Congo"	2006.0	2008.0	"Congo government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
294.0	"M23"	"Democratic Republic of Congo"	2012.0	2013.0	"Congo government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
547.0	"anti-Kabila campaign"	"Democratic Republic of Congo"	2017.0	2018.0	"Kabila regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1062.0	"Danish resistance"	"Denmark"	1940.0	1943.0	"Nazi occupation"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
2.0	"Afar insurgency"	"Djibouti"	1991.0	1994.0	"Djibouti regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
260.0	"Djibouti Arab Spring"	"Djibouti"	2011.0	2011.0	"Gov't of Djibouti (President Guelleh)"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1020.0	"Dominican insurgency"	"Dominican Republic"	1916.0	1924.0	"U.S. occupation"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
448.0	"anti-Balaguer strikes"	"Dominican Republic"	1961.0	1962.0	"Balaguer regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
455.0	"leftists"	"Dominican Republic"	1965.0	1965.0	"Loyalist regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
74.0	"East German uprising"	"East Germany"	1953.0	1953.0	"Communist regime"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
467.0	"pro-dem movement"	"East Germany"	1989.0	1989.0	"Communist regime"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
230.0	"Freitilin"	"East Timor"	1975.0	1979.0	"Indonesian occupation"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
230.0	"Timorese resistance"	"East Timor"	1989.0	1999.0	"Indonesian occupation"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
501.0	"Anti-Alkatiri"	"East Timor"	2006.0	2006.0	"PM Mari Alkatiri"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
456.0	"1965 Anti-Junta Campaign"	"Ecuador"	1965.0	1966.0	"Gov't of Ecuador (junta)"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
481.0	"1997 Anti-Bucaram Campaign"	"Ecuador"	1997.0	1997.0	"Gov't of Ecuador (President Bucaram)"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
489.0	"2000 Anti-Mahuad Protests"	"Ecuador"	2000.0	2000.0	"Government of Ecuador"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
497.0	"2004 Anti-Gutierrez Protests"	"Ecuador"	2004.0	2004.0	"Government of Ecuador"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
261.0	"Rebellion of the Forajidos"	"Ecuador"	2005.0	2005.0	"Ecuadorian President Colonel Lucio Gutierrez"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
531.0	"Out Correa Campaign"	"Ecuador"	2015.0	2017.0	"Correa government"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
330.0	"Egyptian Revolution for Independence"	"Egypt"	1918.0	1922.0	"British Colonial Government"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
384.0	"Egyptian Insurgency-Jamaat Al Islamiyya"	"Egypt"	1992.0	1999.0	"Gov't of Egpyt"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
118.0	"Kefaya"	"Egypt"	2000.0	2005.0	"Mubarak regime"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
331.0	"Anti-Mubarak movement"	"Egypt"	2007.0	2011.0	"Government"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
262.0	"Anti-Morsi Protests"	"Egypt"	2013.0	2013.0	"President Morsi"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
295.0	"Pro-Morsi Protests"	"Egypt"	2013.0	2014.0	"President Morsi"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
319.0	"Sinai Insurgency"	"Egypt"	2013.0	2019.0	"Sisi Government"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
568.0	"anti-Sisi protests"	"Egypt"	2019.0	2019.0	"Sisi government"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1053.0	"leftist rebellion"	"El Salvador"	1932.0	1932.0	"authoritarian Martinez regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
1076.0	"anti Aguirre y Salinas"	"El Salvador"	1944.0	1945.0	"Aguirre y Salinas govt"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
1070.0	"Strike of Fallen Arms"	"El Salvador"	1944.0	1944.0	"Martinez dictatorship"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
445.0	"Anti-Lemus campaign"	"El Salvador"	1960.0	1960.0	"Lemus govt"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
